# ID UPID X Y Z VX VY VZ DX_eff DY_eff DZ_eff Rank1 obs_SM obs_SFR SSFR Accret
2688022167.0 -1.0 10.714070 25.923090 22.618311 -149.610001 235.369995 -208.690002 9.055856 28.531831 20.305280 0.939902 11.678609 0.111599 -11.566870 0.139085
2688035685.0 -1.0 14.865380 24.477501 39.186871 -58.820000 278.809998 -405.070007 14.213444 27.567712 34.697247 0.289157 11.653695 0.603686 -11.050025 0.080250
2688023036.0 -1.0 15.366680 25.505131 23.830311 -367.600006 197.860001 -199.070007 11.292358 27.698127 21.623904 0.069944 11.492341 -0.889074 -12.381534 0.058935
2688013145.0 -1.0 10.626080 14.207900 13.422620 72.059998 139.580002 123.639999 11.424762 15.754945 14.792993 0.863400 11.603036 0.005181 -11.597739 0.118027
2688011571.0 -1.0 8.203430 23.138821 17.174681 65.419998 279.600006 -186.690002 8.928517 26.237789 15.105488 -0.771220 11.396896 -0.729787 -12.126796 0.045249
2688001086.0 -1.0 9.029330 0.826530 8.125810 12.950000 -410.829987 160.500000 9.172862 -3.726935 9.904724 -0.093021 11.089905 -0.422508 -11.512579 0.114578
2688013669.0 -1.0 17.530130 16.184549 12.097740 98.519997 30.320000 23.459999 18.622084 16.520603 12.357761 0.128724 11.457125 -0.167300 -11.624336 -0.002480
2688012309.0 -1.0 11.242480 19.995840 14.478300 -360.269989 140.419998 18.700001 7.249401 21.552196 14.685563 0.273019 11.384353 0.595717 -10.788612 0.030264
2688036495.0 -1.0 3.266770 15.596050 47.486580 -125.910004 30.500000 -274.570007 1.871237 15.934099 44.443363 -0.120574 11.572988 0.885305 -10.687823 0.038446
2688001223.0 -1.0 12.672770 1.634700 11.129830 -131.149994 35.570000 -319.429993 11.219159 2.028943 7.589404 -0.110054 11.301030 -0.141162 -11.442132 0.046527
2688012823.0 2688012832.0 11.204690 23.460051 14.724550 25.510000 -27.850000 65.440002 11.487432 23.151373 15.449859 0.165323 11.294687 -0.055912 -11.350665 0.099601
2688036696.0 2688036689.0 2.515240 17.139040 36.363880 -252.139999 64.449997 -401.910004 -0.279372 17.853376 31.909280 -0.874378 11.085291 -0.316143 -11.401428 -0.435469
2688060910.0 -1.0 20.665079 12.930270 89.496407 -67.279999 231.419998 82.959999 19.919376 15.495231 90.415900 0.533408 11.641077 0.627878 -11.013184 0.101825
2688061902.0 -1.0 3.586880 9.760050 85.804337 -131.279999 141.300003 -276.000000 2.131828 11.326159 82.745270 0.539876 11.460748 0.178401 -11.282413 0.014871
2688047739.0 -1.0 17.896379 10.797280 62.858311 -91.199997 -22.010000 -145.589996 16.885557 10.553331 61.244653 0.677510 11.123525 0.304921 -10.818728 0.008367
2688047825.0 -1.0 11.078770 5.043260 60.482029 -245.419998 81.889999 75.209999 8.358639 5.950894 61.315625 1.072704 11.101747 -0.544698 -11.646468 0.075792
2688062308.0 -1.0 6.002960 6.309970 84.417374 -250.979996 21.590000 87.910004 3.221204 6.549264 85.391731 0.933170 11.104828 -0.335076 -11.440093 -0.032309
2688047948.0 -1.0 7.431460 4.900300 60.297531 -117.870003 4.960000 -90.089996 6.125039 4.955275 59.299012 -0.220678 11.273696 -0.445390 -11.718967 0.028973
2688062493.0 -1.0 16.052771 24.126980 92.433907 -147.949997 201.369995 149.190002 14.412956 26.358879 94.087466 -0.010184 11.253338 -0.039196 -11.292515 0.066930
2688048091.0 -1.0 9.777450 4.525850 60.781971 -95.690002 70.339996 -45.820000 8.716863 5.305469 60.274122 -0.520585 11.080626 -0.229885 -11.310514 0.028557
2688062762.0 -1.0 4.532140 22.465111 89.132294 38.419998 212.130005 -132.470001 4.957971 24.816270 87.664053 1.313713 11.102434 0.291369 -10.811072 0.032984
2688047613.0 -1.0 1.279950 23.959339 75.155167 35.770000 280.179993 -29.260000 1.676409 27.064735 74.830862 -0.497317 11.174641 0.723209 -10.451488 0.029245
2688062708.0 -1.0 0.687030 11.704130 83.581596 35.060001 60.709999 -260.809998 1.075620 12.377014 80.690889 0.719992 11.335458 -0.052027 -11.387428 -0.006531
2688075973.0 -1.0 9.296770 20.162439 94.290733 -4.650000 292.429993 -61.490002 9.245231 23.403609 93.609204 -0.244491 11.102091 -0.894490 -11.996539 0.097807
2688074607.0 -1.0 19.855761 16.003050 111.345863 64.320000 73.099998 179.800003 20.568657 16.813259 113.338690 0.986159 11.200029 -0.559248 -11.759201 0.147278
2688074989.0 -1.0 14.981490 17.085890 103.935448 102.360001 172.179993 70.570000 16.116005 18.994260 104.717616 1.767715 11.248219 1.170262 -10.077898 0.196953
2688088885.0 -1.0 14.634460 2.427100 118.209709 119.449997 -40.580002 6.940000 15.958393 1.977329 118.286629 0.272409 11.098298 0.915294 -10.183162 -0.002380
2688088612.0 -1.0 13.356280 3.224250 117.349129 163.570007 -104.160004 21.740000 15.169220 2.069785 117.590086 1.728758 11.189490 0.465234 -10.724458 0.160130
2688075188.0 -1.0 17.590931 24.108780 101.095047 -74.949997 212.279999 -0.890000 16.760217 26.461601 101.085183 -0.565842 11.172019 -0.732828 -11.904831 0.012169
2688089377.0 -1.0 13.726390 10.649440 114.643066 189.539993 67.290001 104.430000 15.827171 11.395254 115.800524 1.047382 11.135133 0.546789 -10.588212 0.006644
