# ID UPID X Y Z VX VY VZ DX_eff DY_eff DZ_eff Rank1 obs_SM obs_SFR SSFR Accret
2782897932.0 -1.0 10.653940 26.078871 22.520321 -9.240000 285.589996 -162.110001 10.559685 28.992091 20.866684 1.164299 11.677881 -0.020133 -11.697886 0.126028
2782911441.0 -1.0 14.840460 24.629801 38.933651 -66.570000 228.669998 -470.700012 14.161399 26.962397 34.132177 0.533413 11.490099 -0.027381 -11.517555 0.098138
2782898780.0 -1.0 15.163090 25.620050 23.715050 -371.880005 200.750000 -197.429993 11.369651 27.667842 21.701124 0.157325 11.589056 -0.309007 -11.898253 0.066098
2782888769.0 -1.0 10.660420 14.293900 13.474800 114.139999 148.000000 46.060001 11.824729 15.803605 13.944645 0.363681 11.440279 0.651569 -10.788879 0.074296
2782887242.0 -1.0 8.247540 23.279011 17.080820 88.419998 269.200012 -116.889999 9.149487 26.025042 15.888459 -0.711938 11.569842 -0.610302 -12.180193 0.064493
2782876645.0 -1.0 9.043850 0.585940 8.206810 40.619999 -432.799988 124.379997 9.458203 -3.828926 9.475574 0.656637 11.085647 -0.580540 -11.666351 0.119219
2782889268.0 -1.0 17.585340 16.193979 12.112150 101.360001 0.190000 3.150000 18.619284 16.195917 12.144282 0.668519 11.540830 -0.537003 -12.077898 0.011887
94000001209388464.0 2782899793.0 9.435966 10.504043 20.088379 82.237885 353.382446 -326.412292 10.274851 14.108794 16.758742 -1.628505 11.107888 0.637290 -10.470570 -inf
2782887928.0 -1.0 11.042130 20.117460 14.517460 -363.660004 227.350006 108.629997 7.332540 22.436591 15.625563 0.152297 11.370143 0.298198 -11.071860 0.022716
2782912160.0 -1.0 3.198770 15.610570 47.328110 -117.080002 18.760000 -274.019989 2.004471 15.801935 44.532912 0.400405 11.419129 0.511349 -10.907982 0.055938
2782876768.0 -1.0 12.596050 1.649150 10.951860 -146.360001 23.590000 -315.230011 11.103074 1.889785 7.736291 0.202325 11.279667 -0.479516 -11.759201 0.033545
2782912359.0 -1.0 14.244380 16.900471 34.717960 -121.900002 403.880005 -264.500000 13.000914 21.020333 32.019873 0.489050 11.191171 -0.369979 -11.561141 0.033210
2782876885.0 -1.0 9.585230 7.408550 11.318080 301.929993 52.340000 -119.029999 12.665130 7.942455 10.103890 -0.187043 11.109916 0.031812 -11.078262 0.031082
2782888437.0 2782888450.0 10.654160 23.547440 14.580780 25.209999 29.410000 75.739998 10.911320 23.847443 15.353382 -1.301520 11.127429 -1.611544 -12.738737 -0.359385
