# ID UPID X Y Z VX VY VZ DX_eff DY_eff DZ_eff Rank1 obs_SM obs_SFR SSFR Accret
2632846825.0 -1.0 10.778530 25.852551 22.703979 -118.989998 185.580002 -269.269989 9.394722 28.010776 19.572472 0.373109 11.677151 0.191171 -11.485851 0.093108
2632860356.0 -1.0 14.889490 24.385050 39.310501 -83.199997 264.239990 -404.829987 13.921906 27.458060 34.602483 0.440009 11.598791 0.353147 -11.245575 0.050352
2632847693.0 -1.0 15.497540 25.438471 23.899900 -378.980011 176.699997 -208.619995 11.090147 27.493425 21.473729 0.108866 11.403464 -0.218747 -11.622148 0.049485
2632837825.0 -1.0 10.619820 14.160500 13.367370 22.420000 129.059998 187.850006 10.880556 15.661419 15.551994 0.887202 11.439648 -0.566230 -12.005771 0.112076
2632836240.0 -1.0 8.183830 23.041540 17.239880 73.739998 303.500000 -168.449997 9.041398 26.571129 15.280871 -0.794737 11.527114 -0.439137 -11.966174 0.018024
2632859774.0 -1.0 14.444590 25.717381 36.960522 56.520000 88.339996 -241.410004 15.101896 26.744741 34.153016 -0.564462 11.260548 -0.659754 -11.920457 -0.029135
2632825754.0 -1.0 9.027260 0.967730 8.067690 11.670000 -396.239990 178.160004 9.162978 -3.640390 10.139623 -0.042111 11.228400 0.537567 -10.690796 0.108549
2632838365.0 -1.0 17.494049 16.180901 12.098340 113.610001 22.790001 31.049999 18.815290 16.445940 12.459440 -0.578094 11.466868 -0.070683 -11.537452 -0.002248
2632836985.0 -1.0 11.366470 19.945610 14.482880 -356.980011 120.769997 -29.389999 7.214929 21.350119 14.141086 0.988665 11.420286 0.921270 -10.499078 0.063145
2632861213.0 -1.0 3.310500 15.585070 47.581650 -131.500000 32.240002 -278.230011 1.781205 15.960009 44.345941 -0.232437 11.552181 0.145196 -11.407046 0.037737
2632825902.0 -1.0 12.718190 1.621340 11.241640 -135.759995 36.099998 -326.690002 11.139353 2.041169 7.442360 0.060069 11.306854 -0.183692 -11.490663 0.050079
2632837396.0 -1.0 10.642310 24.083450 14.757190 -52.320000 -176.600006 54.099998 10.033848 22.029659 15.386352 -0.255470 11.091667 0.388811 -10.702677 0.056005
2632849832.0 -1.0 6.592610 15.463710 27.243780 -78.389999 211.149994 -240.279999 5.680964 17.919304 24.449415 0.263241 11.092721 0.165838 -10.927015 0.027201
