# ID UPID X Y Z VX VY VZ DX_eff DY_eff DZ_eff Rank1 obs_SM obs_SFR SSFR Accret
2769444719.0 -1.0 10.658330 26.054760 22.532360 -44.169998 287.179993 -166.500000 10.202433 29.018864 20.813844 1.148185 11.677972 0.009451 -11.668370 0.131904
2769458169.0 -1.0 14.845790 24.611250 38.970810 -56.520000 235.610001 -463.149994 14.262424 27.043079 34.190447 0.423569 11.591621 0.786041 -10.805763 0.097756
2769435595.0 -1.0 10.649970 14.283520 13.470860 110.769997 148.320007 61.189999 11.793273 15.814392 14.102427 0.634788 11.459242 0.327972 -11.131297 0.080291
2769434067.0 -1.0 8.237330 23.259970 17.089800 79.029999 269.510010 -127.559998 9.053031 26.041695 15.773200 -0.706748 11.443889 -0.562408 -12.006299 0.061213
2769423558.0 -1.0 9.040870 0.620060 8.197360 32.889999 -431.250000 131.410004 9.380341 -3.831050 9.553697 0.447060 11.159266 -0.474307 -11.633390 0.115589
2769436099.0 -1.0 17.575470 16.194010 12.112870 101.230003 5.360000 15.760000 18.620307 16.249333 12.275535 0.552450 11.379849 -0.106294 -11.486117 0.009298
2769434764.0 -1.0 11.070410 20.098120 14.507510 -366.279999 220.970001 68.010002 7.289882 22.378843 15.209469 0.129857 11.464042 0.806316 -10.657775 0.029232
2769458900.0 -1.0 3.209080 15.608620 47.351200 -118.000000 17.770000 -275.910004 1.991153 15.792032 44.503418 0.408651 11.350636 0.003461 -11.347174 0.054612
2769423683.0 -1.0 12.607800 1.646960 10.976320 -144.250000 24.240000 -313.640015 11.118936 1.897151 7.739111 0.058535 11.271609 0.594945 -10.676748 0.035534
2769435272.0 2769435279.0 11.197590 23.434540 14.719070 -75.120003 -80.580002 -129.910004 10.422245 22.602840 13.378215 -0.822747 11.200577 -0.876148 -12.076601 -0.203274
2769484468.0 -1.0 3.525260 9.824900 85.667633 -131.139999 124.690002 -272.089996 2.171710 11.111877 82.859279 0.396782 11.240799 -0.336299 -11.577082 0.009480
2769469951.0 -1.0 19.722191 1.457010 65.172737 -145.850006 -63.099998 -60.660000 18.216813 0.805729 64.546640 0.183803 11.120574 -0.104909 -11.225483 0.051662
2769484392.0 2769484389.0 11.458510 0.662940 88.651810 199.509995 84.620003 -158.389999 13.517735 1.536338 87.017001 -0.855156 11.080266 -0.954677 -12.034892 -0.330770
2769470204.0 -1.0 17.853479 10.792280 62.783100 -91.959999 -5.450000 -153.350006 16.904322 10.736028 61.200311 0.037107 11.169674 0.619928 -10.549597 0.028240
2769470287.0 -1.0 10.946920 5.079530 60.521870 -257.640015 74.120003 83.269997 8.287711 5.844553 61.381334 -1.193740 11.138303 -0.218101 -11.356449 0.021303
2769470338.0 -1.0 2.720820 24.715931 73.512657 -332.369995 282.570007 87.620003 -0.709709 27.632453 74.417019 1.248544 11.145818 -1.138764 -12.284582 0.098034
2769470401.0 -1.0 7.374230 4.903630 60.256271 -118.199997 1.910000 -90.510002 6.154239 4.923344 59.322080 -0.204581 11.160168 -0.435808 -11.596022 0.020292
2769485039.0 -1.0 15.970800 24.224791 92.510422 -161.199997 183.089996 158.800003 14.306988 26.114539 94.149463 0.867910 11.099335 0.440594 -10.658763 0.070293
2769498028.0 -1.0 18.129410 24.320110 95.553802 -246.440002 109.410004 71.150002 15.585801 25.449376 96.288171 0.361037 11.200850 0.030600 -11.170246 -0.024414
2769485318.0 -1.0 4.550100 22.567410 89.071968 25.240000 214.669998 -120.110001 4.810613 24.783108 87.832263 1.316258 11.108565 0.338058 -10.770574 0.051194
2769485262.0 -1.0 0.696980 11.735860 83.456131 19.750000 55.720001 -245.470001 0.900828 12.310969 80.922533 1.277078 11.163758 0.207634 -10.956245 0.013495
2769511666.0 -1.0 14.693120 2.408130 118.214233 116.349998 -38.930000 -2.780000 15.894017 2.006317 118.185539 -0.130837 11.109916 -0.662341 -11.772370 0.003641
2769511402.0 -1.0 13.449680 3.172290 117.386749 220.600006 -131.940002 98.650002 15.726584 1.810483 118.404957 0.593975 11.085647 0.799341 -10.286425 0.088651
2769512136.0 -1.0 13.816790 10.684180 114.691040 192.899994 68.129997 94.669998 15.807791 11.387378 115.668168 1.128340 11.331630 0.638190 -10.693361 0.019528
2769512152.0 -1.0 19.200190 15.226320 114.397491 165.369995 29.049999 2.860000 20.907042 15.526157 114.427010 -0.398517 11.122544 0.576917 -10.545613 0.008274
2769524665.0 -1.0 14.152050 9.140010 148.614807 113.190002 225.339996 193.460007 15.320331 11.465838 150.611588 1.115600 11.081707 -0.461552 -11.543330 0.041372
2769560264.0 -1.0 12.319000 1.378550 180.074829 -166.229996 -293.850006 373.940002 10.603271 -1.654398 183.934419 1.220312 11.375664 0.116276 -11.259322 0.209710
2769561502.0 -1.0 14.618600 22.204069 183.751877 -393.519989 165.690002 -112.790001 10.556917 23.914224 182.587725 -0.641068 11.641177 0.116608 -11.524474 0.034652
2769560254.0 2769560264.0 12.217510 1.251310 180.130707 424.420013 412.480011 -709.919983 16.598125 5.508687 172.803328 0.417462 11.498724 -0.707301 -12.206140 0.108318
2769572457.0 -1.0 9.057500 4.918340 184.504333 51.779999 -169.839996 10.850000 9.591943 3.165351 184.616320 -0.011279 11.287802 0.994845 -10.292941 0.021437
2769561768.0 -1.0 11.471890 23.363371 182.464294 -359.850006 -64.379997 21.570000 7.757729 22.698878 182.686927 0.657231 11.406370 0.682686 -10.723768 0.071484
2769561957.0 -1.0 2.897190 20.794571 182.764450 -75.889999 362.640015 3.650000 2.113898 24.537529 182.802123 0.520833 11.353532 0.529943 -10.823619 0.037026
2769547991.0 -1.0 7.560710 12.208260 170.797592 92.389999 191.300003 383.230011 8.514305 14.182747 174.753068 0.335398 11.301247 -0.040815 -11.341989 0.041265
2769572530.0 -1.0 2.770600 0.645780 199.465088 143.240005 -72.570000 305.589996 4.249040 -0.103245 202.619209 0.818049 11.383636 0.462398 -10.921181 0.041323
2769562069.0 -1.0 4.662350 17.899981 182.216171 -47.209999 354.399994 27.040001 4.175076 21.557890 182.495262 1.654101 11.193959 -0.110474 -11.304431 0.117053
2769547890.0 -1.0 8.828900 24.783880 164.955841 104.419998 351.190002 44.139999 9.906662 28.408658 165.411428 0.610205 11.245513 -0.217098 -11.462685 0.025475
2769572909.0 -1.0 5.210170 15.683870 190.428619 -104.720001 8.350000 -107.360001 4.129311 15.770054 189.320512 0.081341 11.204663 0.616055 -10.588549 0.009877
2769560690.0 2769560641.0 11.210480 12.153390 174.516754 -100.000000 398.450012 130.039993 10.178339 16.265958 175.858951 -1.340814 11.335458 -0.033342 -11.368861 -0.455512
2769561260.0 2769561230.0 9.145470 23.755180 181.710037 -370.920013 386.690002 -223.720001 5.317051 27.746368 179.400930 -1.487034 11.365675 -0.300076 -11.665747 -0.936421
2769563041.0 -1.0 14.557420 1.783940 177.738922 -371.720001 -194.979996 279.130005 10.720744 -0.228529 180.619939 1.615617 11.321184 0.187239 -11.133831 0.003787
2769573957.0 -1.0 17.218910 20.655741 185.292725 -388.739990 268.829987 -198.300003 13.206563 23.430447 183.245988 0.503217 11.253822 -0.322211 -11.576099 0.026418
2769549058.0 -1.0 11.817550 19.255310 172.814880 -41.959999 45.700001 31.500000 11.384463 19.726999 173.140005 0.134748 11.083144 -0.976748 -12.059832 0.041182
2769588047.0 -1.0 1.850380 4.849370 203.705612 67.339996 -278.519989 -152.850006 2.545424 1.974650 202.127984 0.638743 11.306425 0.103462 -11.203079 0.127457
2769588171.0 -1.0 0.562490 20.424879 210.391968 -145.270004 -31.059999 -154.149994 -0.936902 20.104296 208.800922 1.041313 11.617629 -0.760951 -12.378512 0.075613
2769587289.0 -1.0 8.655260 2.221040 201.157593 -65.989998 -229.839996 -69.150002 7.974150 -0.151234 200.443867 -0.258740 11.413803 -0.140321 -11.554085 0.011039
