# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
213.158950 39.310166 0.025830 4.000000 11.011225 1.553642 -10.725570 2.845952e-09
204.406230 15.972234 0.025874 4.000000 11.109341 2.021064 -12.760900 2.250233e-09
162.048460 4.927735 0.025883 -1.000000 11.138316 1.936900 -12.362500 2.100187e-09
225.984780 48.550251 0.025967 3.000000 11.025996 2.017973 -12.464530 2.746661e-09
48.438382 -0.241449 0.025980 3.000000 11.046115 1.711669 -11.237500 2.618054e-09
137.491950 62.247359 0.026243 4.000000 11.173104 1.627049 -10.747530 1.934036e-09
212.170300 16.097124 0.026287 5.000000 11.005959 1.927595 -12.292450 2.882680e-09
203.805590 34.677436 0.026392 4.000000 11.083884 1.983880 -12.635000 2.391183e-09
138.380740 28.951758 0.026520 4.000000 11.074734 1.868620 -11.919890 2.444561e-09
208.410130 36.134047 0.026540 2.000000 11.181912 1.976200 -12.690910 1.893667e-09
191.980490 27.222360 0.026577 -1.000000 11.217439 2.064190 -12.434160 1.741190e-09
125.875220 18.749433 0.026588 5.000000 11.032304 2.026540 -12.596970 2.706378e-09
40.880457 0.306821 0.026670 4.000000 11.052840 1.805281 -11.971030 2.575899e-09
141.970120 29.985752 0.026663 2.000000 11.195480 1.983384 -12.534620 1.834185e-09
247.163040 39.552819 0.026729 5.000000 11.267578 1.729648 -12.689910 1.546791e-09
143.552180 46.707975 0.026768 1.000000 11.080181 1.700092 -11.340110 2.413146e-09
179.184840 31.510439 0.026784 5.000000 11.205426 1.793207 -10.729230 1.791223e-09
203.524710 17.856863 0.026847 4.000000 11.184922 1.939042 -12.470240 1.879986e-09
173.750070 51.218000 0.026972 -1.000000 11.037530 1.966856 -12.061790 2.672647e-09
169.460900 26.625795 0.027017 4.000000 11.135019 1.961290 -12.531720 2.116925e-09
261.822450 58.485471 0.027134 4.000000 11.079529 1.915774 -12.101000 2.416163e-09
168.791720 31.033699 0.027226 3.000000 11.055729 1.929242 -12.076370 2.558424e-09
223.636440 2.966425 0.027236 4.000000 11.128430 1.833851 -12.599040 2.150087e-09
166.403380 56.524923 0.027353 4.000000 11.050819 1.844084 -11.504240 2.588007e-09
221.630180 1.274751 0.027461 -1.000000 11.000704 1.899285 -12.513300 2.918751e-09
200.793840 43.086260 0.027658 3.000000 11.142077 1.581205 -10.727050 2.081982e-09
139.208380 20.198503 0.027665 -1.000000 11.244091 2.032545 -12.390430 1.634745e-09
221.050770 7.949644 0.027693 4.000000 11.024361 1.851060 -12.472110 2.757460e-09
196.518460 55.656090 0.027709 4.000000 11.127432 1.886179 -12.392020 2.155252e-09
140.179330 39.315760 0.027744 5.000000 11.156710 1.925472 -12.292110 2.010473e-09
197.050390 41.676341 0.027770 4.000000 11.008125 1.790395 -12.031050 2.867405e-09
216.825980 4.802822 0.027879 2.000000 11.324373 2.002402 -13.161160 1.353245e-09
