# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
176.439840 10.824570 0.010013 4.000000 10.505029 1.965178 -12.607960 9.789002e-09
159.160170 14.171103 0.010066 -1.000000 10.508183 1.984235 -12.286470 9.709711e-09
179.184120 32.021778 0.010829 5.000000 10.510439 2.239133 -12.305310 9.657331e-09
180.711160 48.636205 0.011440 3.000000 10.600452 1.479089 -10.930330 7.732859e-09
129.386270 28.705196 0.011574 4.000000 10.599649 1.683921 -12.126790 7.747386e-09
209.658260 37.424476 0.011580 4.000000 10.660604 1.781129 -11.740000 6.668427e-09
175.070780 17.727896 0.011586 4.000000 10.705118 1.998362 -12.659520 5.979836e-09
140.729220 3.156932 0.012145 -1.000000 10.528872 2.019841 -12.496910 9.227088e-09
148.890050 16.432868 0.012405 3.000000 10.529638 1.593947 -10.616600 9.208707e-09
148.334260 0.697730 0.012555 5.000000 10.611160 1.926007 -11.891590 7.533285e-09
134.241650 52.065963 0.012588 4.000000 10.509779 1.972109 -11.677010 9.676929e-09
136.902680 3.392900 0.012591 -1.000000 10.760134 1.880709 -11.560550 5.226617e-09
152.666360 20.070179 0.012661 4.000000 10.628543 1.906494 -12.396260 7.215801e-09
145.100380 14.922633 0.012725 -1.000000 10.731436 1.907878 -12.281480 5.606476e-09
130.607360 37.221036 0.012850 4.000000 10.528967 1.795807 -11.615870 9.227088e-09
134.335440 2.921314 0.012992 4.000000 10.964453 1.979001 -11.983330 3.184777e-09
202.547870 -1.663130 0.013280 4.000000 10.703365 1.834553 -11.098550 6.007281e-09
232.503480 12.989325 0.013298 3.000000 10.670005 1.251701 -10.795620 6.516320e-09
141.229630 26.774674 0.013607 4.000000 10.668477 1.946632 -11.900000 6.543274e-09
184.883710 49.815753 0.013701 -1.000000 10.720473 2.015961 -12.259890 5.759737e-09
237.437100 18.526923 0.013753 4.000000 10.518943 1.953742 -12.419900 9.457912e-09
138.671300 15.461958 0.014134 4.000000 10.522976 1.933851 -12.056630 9.363408e-09
219.342260 36.567855 0.014152 4.000000 10.658704 1.870895 -12.148580 6.700218e-09
207.650080 33.704829 0.014338 4.000000 10.767241 2.034712 -12.543070 5.136407e-09
239.283900 22.404578 0.014357 -1.000000 10.710461 2.013975 -12.832500 5.901868e-09
217.319270 28.821883 0.014400 4.000000 10.886351 1.991706 -12.588140 3.846449e-09
210.650340 32.510452 0.014502 1.000000 10.530727 1.327816 -9.971858 9.184275e-09
234.345510 20.549806 0.014844 3.000000 10.556604 2.054787 -11.300300 8.617602e-09
231.511990 18.073639 0.014879 -1.000000 10.835928 2.000752 -12.462630 4.346468e-09
186.008430 58.385204 0.014934 4.000000 10.506657 1.898487 -12.060500 9.749248e-09
125.148690 21.067803 0.015041 -1.000000 10.964550 2.109102 -12.520720 3.184777e-09
204.030540 51.235808 0.015016 5.000000 10.673356 1.948981 -12.282470 6.462858e-09
187.845350 29.136482 0.015243 3.000000 10.568250 1.477166 -10.809070 8.370663e-09
208.621500 54.330661 0.015331 3.000000 10.573441 1.498582 -10.932410 8.263968e-09
208.235650 2.814275 0.015454 2.000000 10.554388 1.965438 -12.730220 8.662526e-09
220.387350 38.851374 0.015577 1.000000 10.677370 1.521048 -10.340230 6.402481e-09
241.361770 15.025336 0.015658 4.000000 10.577384 1.903701 -12.310000 8.185147e-09
196.996100 51.929303 0.015676 -1.000000 10.546329 1.975698 -12.403850 8.839618e-09
121.556020 17.706578 0.015700 4.000000 10.807689 2.010113 -12.370450 4.656409e-09
239.377870 15.956055 0.015812 4.000000 10.714252 1.952322 -12.662380 5.848435e-09
153.073490 27.862081 0.015845 1.000000 10.538220 1.666720 -10.756430 9.015671e-09
226.894820 19.582414 0.015879 4.000000 10.875512 1.707798 -13.364780 3.948187e-09
184.885810 56.736580 0.015867 4.000000 10.850878 1.925981 -12.149500 4.192343e-09
147.181810 44.081429 0.015910 4.000000 10.624298 1.602412 -11.487610 7.291221e-09
190.381120 26.042664 0.015940 3.000000 10.556907 1.524202 -10.784020 8.612009e-09
137.634000 50.433279 0.016069 -1.000000 10.784334 1.961294 -11.494860 4.927777e-09
119.585270 25.149213 0.016102 4.000000 10.683406 1.863256 -12.725930 6.305978e-09
200.937580 31.565758 0.016184 4.000000 10.880913 1.994487 -12.698960 3.897830e-09
210.554320 8.037105 0.016232 4.000000 10.910891 1.987219 -12.625000 3.625343e-09
226.674040 23.641920 0.016216 -1.000000 10.671900 1.979765 -12.337220 6.485698e-09
222.912040 40.599183 0.016246 4.000000 10.808855 2.020878 -12.245260 4.641795e-09
141.157170 49.357059 0.016264 4.000000 10.560835 1.725834 -12.906600 8.528691e-09
214.498120 25.136872 0.016266 4.000000 10.655256 0.864455 -10.760860 6.756347e-09
138.820690 11.885692 0.016538 4.000000 10.664856 1.938826 -12.006000 6.601542e-09
130.039450 52.455980 0.016566 4.000000 10.557820 1.762976 -12.634950 8.589684e-09
144.746620 6.955441 0.016612 1.000000 10.709700 1.374643 -10.375360 5.911960e-09
148.123640 2.154453 0.016646 5.000000 10.712116 1.917165 -12.219000 5.878410e-09
213.285970 20.416274 0.016724 -1.000000 10.963927 1.951467 -12.495000 3.189166e-09
133.645490 57.166712 0.016865 4.000000 10.782931 1.887785 -12.263590 4.943619e-09
189.619860 1.754345 0.016867 4.000000 10.504395 1.897238 -12.033670 9.802302e-09
209.553580 6.518185 0.016992 4.000000 10.779491 1.898057 -11.678380 4.986201e-09
145.996790 42.432956 0.016962 4.000000 10.603495 1.967396 -12.433010 7.675118e-09
152.151700 18.231229 0.017022 4.000000 10.793000 1.897729 -11.408800 4.823895e-09
140.009040 1.038274 0.017026 3.000000 10.820931 1.944672 -12.606930 4.508337e-09
243.236910 9.867108 0.017045 4.000000 10.802712 2.094223 -12.361390 4.713007e-09
149.921720 35.392809 0.017130 1.000000 10.554309 1.174980 -10.628860 8.662526e-09
152.086080 31.862690 0.017139 4.000000 10.812435 2.041403 -13.087620 4.603127e-09
24.000636 0.663535 0.017206 1.000000 10.603153 1.202957 -10.280340 7.679908e-09
352.633470 0.081035 0.017213 -1.000000 10.805354 1.982126 -12.609140 4.680904e-09
179.613360 57.596399 0.017249 4.000000 10.605596 1.563644 -12.745450 7.636947e-09
211.250790 13.131891 0.017324 4.000000 10.690977 1.937197 -12.414470 6.189878e-09
119.804400 32.914676 0.017321 1.000000 10.693087 1.544345 -10.471500 6.157744e-09
120.652190 27.437501 0.017410 1.000000 10.572309 1.433944 -10.267620 8.290469e-09
203.852300 1.410558 0.017454 4.000000 10.592794 1.564297 -11.833640 7.879794e-09
201.214360 36.378540 0.017493 4.000000 10.868602 2.012852 -12.405550 4.015372e-09
121.834390 51.131600 0.017533 -1.000000 10.827411 2.066580 -12.512920 4.436678e-09
217.242630 13.861881 0.017563 4.000000 10.710869 1.838243 -12.150000 5.895153e-09
213.317050 27.008079 0.017634 5.000000 10.524575 1.924482 -12.263860 9.325962e-09
189.000480 54.220977 0.017873 4.000000 10.685879 1.948178 -12.230210 6.269384e-09
210.083830 38.915427 0.017972 5.000000 10.947464 2.007172 -12.610990 3.318535e-09
142.923490 4.500022 0.018060 4.000000 10.732924 1.934182 -12.506990 5.587707e-09
212.911330 39.641901 0.018065 -1.000000 10.814775 2.003223 -12.330730 4.576794e-09
219.729520 20.506713 0.018129 -1.000000 10.768779 2.038716 -12.453850 5.116953e-09
3.025396 -0.415210 0.018171 4.000000 10.602883 1.906788 -12.339220 7.684701e-09
219.237840 41.828124 0.018198 4.000000 10.720419 1.752632 -11.028450 5.759737e-09
168.420680 47.578367 0.018227 1.000000 10.638936 1.463344 -10.387500 7.033920e-09
153.122050 12.377252 0.018226 -1.000000 10.568560 2.092228 -12.356450 8.365284e-09
146.309990 9.110350 0.018269 3.000000 10.695271 1.563687 -10.961050 6.125835e-09
209.328740 15.458422 0.018299 3.000000 10.678863 1.776977 -11.399660 6.376305e-09
233.738360 23.503684 0.018398 4.000000 10.777304 1.380122 -11.105280 5.013066e-09
213.913450 14.282616 0.018446 3.000000 10.944171 1.965111 -11.385200 3.344943e-09
200.346180 0.342410 0.018425 3.000000 10.749133 1.496873 -11.517460 5.368939e-09
28.671009 -0.143325 0.018513 4.000000 10.644293 2.115689 -12.453190 6.941109e-09
215.756360 40.377422 0.018574 4.000000 10.815166 1.951874 -12.330430 4.572028e-09
197.388020 1.673070 0.018807 -1.000000 10.899641 1.985127 -12.362600 3.724644e-09
214.917950 17.854691 0.018782 -1.000000 10.704733 2.002564 -12.484340 5.986682e-09
175.686940 52.779558 0.018787 4.000000 10.749034 1.789978 -11.224460 5.371897e-09
206.982270 37.826331 0.018847 4.000000 10.695320 1.855416 -12.345980 6.125835e-09
212.137400 11.816219 0.019041 1.000000 10.504787 1.243387 -9.801390 9.795649e-09
217.107470 17.924370 0.019038 3.000000 10.763684 2.085055 -12.662930 5.181247e-09
157.587350 15.192148 0.019092 -1.000000 10.584494 1.882940 -11.934620 8.040701e-09
226.012600 52.929313 0.019107 5.000000 10.652740 1.863149 -11.422060 6.800893e-09
234.305300 43.298317 0.019133 3.000000 10.791634 1.448636 -12.120430 4.841859e-09
232.433820 42.777981 0.019284 4.000000 10.896907 1.938349 -12.422380 3.750041e-09
173.901570 54.948571 0.019288 -1.000000 10.877992 1.907763 -12.025960 3.924836e-09
183.990590 3.305878 0.019302 4.000000 10.577676 1.887854 -12.016830 8.179928e-09
161.860730 6.048121 0.019401 -1.000000 10.723796 2.008814 -12.232180 5.711243e-09
30.551411 -0.100627 0.019403 4.000000 10.827465 1.747742 -11.675960 4.436678e-09
231.444610 52.444727 0.019465 3.000000 10.507854 1.625907 -11.005130 9.722866e-09
173.056090 0.819274 0.019539 3.000000 10.763896 1.655612 -11.589780 5.178429e-09
125.041240 27.093476 0.019580 1.000000 10.790796 1.835335 -11.463610 4.849586e-09
114.404660 41.947069 0.019677 1.000000 10.635255 1.498851 -11.383700 7.098161e-09
205.166510 38.794082 0.019735 4.000000 10.837410 1.984758 -11.672810 4.330936e-09
196.243250 29.122243 0.019745 -1.000000 10.948299 2.001183 -12.566670 3.310821e-09
126.860490 17.284080 0.019797 1.000000 10.713883 1.564086 -11.584460 5.851756e-09
146.237940 16.707445 0.019871 4.000000 10.702941 1.886782 -12.124420 6.010724e-09
118.603660 39.371520 0.019850 4.000000 10.649433 1.945904 -12.503470 6.854051e-09
177.000960 4.488147 0.019847 5.000000 10.846611 1.784062 -12.372220 4.235002e-09
221.926090 18.502026 0.019911 4.000000 10.837912 1.873230 -11.586280 4.326512e-09
208.972660 37.196585 0.019931 -1.000000 10.748393 2.021534 -12.500000 5.380787e-09
146.587830 3.071377 0.019977 1.000000 10.730943 1.410758 -10.620830 5.612752e-09
240.881740 49.338142 0.020070 2.000000 10.775955 2.001739 -12.884290 5.029279e-09
126.575240 27.840130 0.020078 3.000000 10.756612 1.912608 -12.287020 5.272524e-09
169.644210 12.711101 0.020111 -1.000000 10.517633 2.001998 -12.184180 9.489699e-09
176.396890 3.231789 0.020131 1.000000 10.619670 1.362884 -9.961308 7.376777e-09
144.299310 21.669223 0.020163 1.000000 10.909697 1.372294 -10.539490 3.635810e-09
127.192150 22.053472 0.020354 -1.000000 10.808821 2.017435 -11.937850 4.641795e-09
133.536190 17.429990 0.020362 -1.000000 10.555389 1.944389 -12.165420 8.640025e-09
182.766920 0.972277 0.020408 3.000000 10.745994 1.849530 -11.265190 5.410561e-09
150.995130 22.276064 0.020417 -1.000000 10.817865 1.998346 -12.640780 4.541211e-09
212.972690 38.193853 0.020447 4.000000 10.770529 1.834032 -11.261110 5.097600e-09
171.470050 18.598971 0.020531 4.000000 10.526414 1.902085 -12.350000 9.282530e-09
136.707470 26.275453 0.020608 -1.000000 10.611173 1.950170 -12.372350 7.533285e-09
144.073070 37.364007 0.020640 -1.000000 10.655461 1.945086 -12.339520 6.752317e-09
223.832580 16.506121 0.020673 4.000000 10.506217 1.744459 -11.075470 9.762476e-09
199.494400 4.403398 0.020743 4.000000 10.844920 1.906167 -11.586610 4.252230e-09
209.305000 12.021325 0.020737 4.000000 10.800476 1.629670 -10.508220 4.737905e-09
169.819240 20.813559 0.020752 4.000000 10.842906 1.913429 -12.535000 4.273898e-09
174.638630 -1.184506 0.020755 1.000000 10.553642 1.499891 -10.288560 8.679454e-09
170.758800 34.497701 0.020773 3.000000 10.670894 1.714226 -11.139360 6.504814e-09
171.691900 39.266249 0.020825 -1.000000 10.553383 2.024106 -12.491670 8.685107e-09
157.874920 24.869452 0.020839 5.000000 10.886671 1.998935 -11.841590 3.842680e-09
181.510480 36.863679 0.020934 -1.000000 10.854898 1.877177 -12.429070 4.150262e-09
226.131880 17.315084 0.020930 1.000000 10.541289 1.225618 -10.320450 8.950575e-09
123.193540 26.361777 0.020941 1.000000 10.729625 1.193280 -9.839304 5.631635e-09
226.636460 21.703719 0.020954 -1.000000 10.624469 1.929357 -12.012140 7.286756e-09
166.143640 16.061793 0.020976 4.000000 10.908874 1.925770 -12.277270 3.642811e-09
131.704970 28.171317 0.021005 -1.000000 10.995873 2.035756 -12.354120 2.952794e-09
153.015250 23.085447 0.020995 4.000000 10.596731 1.833888 -11.013560 7.805861e-09
159.991400 24.091258 0.021028 5.000000 10.892651 1.967018 -11.878650 3.788578e-09
183.968740 0.400740 0.021041 5.000000 10.594168 1.805694 -11.724500 7.855045e-09
193.510340 29.603614 0.021061 4.000000 10.678423 1.853212 -11.872270 6.383769e-09
227.099860 19.208113 0.021086 -1.000000 10.603516 1.949127 -12.484830 7.675118e-09
132.102740 18.331132 0.021082 1.000000 10.656358 1.464334 -10.420570 6.740246e-09
162.004380 28.246391 0.021135 4.000000 10.689337 1.879316 -11.710310 6.215027e-09
222.274890 22.198159 0.021158 -1.000000 10.644170 1.840710 -12.009630 6.945292e-09
165.147510 12.161569 0.021185 -1.000000 10.921950 2.014940 -12.650520 3.529584e-09
166.713220 23.016314 0.021209 5.000000 10.857828 1.920020 -12.704210 4.121143e-09
152.667990 24.414148 0.021215 3.000000 10.591465 1.131850 -10.275650 7.904648e-09
149.667060 28.877560 0.021290 3.000000 10.664373 1.796372 -12.076850 6.609364e-09
167.858220 43.907091 0.021291 5.000000 10.646062 1.739966 -11.290910 6.911925e-09
167.317010 36.021086 0.021297 -1.000000 10.857809 1.944036 -12.425290 4.121143e-09
177.247760 35.016049 0.021310 4.000000 10.883955 1.846298 -11.442030 3.869172e-09
195.838440 14.377510 0.021329 4.000000 10.746547 1.745122 -11.662380 5.404588e-09
226.900480 9.358229 0.021403 4.000000 10.592780 1.802298 -11.807920 7.879794e-09
224.437050 6.626929 0.021469 5.000000 10.837856 1.840214 -11.679550 4.326512e-09
168.713550 35.502269 0.021473 5.000000 10.810992 1.934121 -12.068690 4.617576e-09
172.778930 22.768053 0.021518 -1.000000 10.939480 1.989639 -12.568680 3.382711e-09
179.759700 21.808222 0.021515 4.000000 10.761060 1.948318 -12.476250 5.215224e-09
199.830090 8.429142 0.021533 -1.000000 10.985547 1.949568 -12.473600 3.027962e-09
193.223330 9.989241 0.021571 3.000000 10.572776 1.975798 -12.032800 8.279855e-09
202.499680 0.305121 0.021563 3.000000 10.777142 1.954114 -12.189360 5.015763e-09
192.979400 16.282854 0.021587 1.000000 10.543596 1.525330 -10.541310 8.897784e-09
153.938790 18.946056 0.021600 4.000000 10.543639 1.997625 -12.274240 8.897784e-09
146.231840 0.068229 0.021608 -1.000000 10.634057 1.952475 -12.773480 7.119750e-09
163.108230 10.547246 0.021629 1.000000 10.683486 1.398739 -10.178470 6.305978e-09
203.020070 17.048967 0.021651 4.000000 10.714141 1.694179 -11.977310 5.848435e-09
204.320040 -2.154406 0.021683 -1.000000 10.576899 1.852023 -11.943230 8.195598e-09
