# ID UPID X Y Z VX VY VZ DX_eff DY_eff DZ_eff Rank1 obs_SM obs_SFR SSFR Accret
2674301922.0 -1.0 10.730330 25.903740 22.635929 -158.919998 220.440002 -228.910004 8.947699 28.376451 20.068209 0.830591 11.678882 0.374748 -11.304081 0.132153
2674315412.0 -1.0 14.868190 24.455509 39.218231 -69.290001 274.660004 -393.649994 14.090953 27.536414 34.802596 0.340402 11.522183 0.067071 -11.455188 0.068429
2674302783.0 -1.0 15.396900 25.487551 23.845770 -368.390015 192.210007 -193.970001 11.264610 27.643601 21.669978 0.070368 11.632356 -0.775467 -12.407712 0.056616
2674292924.0 -1.0 10.623960 14.196420 13.412080 37.580002 140.919998 154.229996 11.045501 15.777142 15.142102 0.865554 11.589056 0.373464 -11.215525 0.113109
2674291348.0 -1.0 8.198220 23.115400 17.190140 66.190002 282.959991 -182.160004 8.940684 26.289407 15.146822 -0.790001 11.281488 -0.994391 -12.275806 0.040183
2674280877.0 -1.0 9.028830 0.862290 8.111630 13.300000 -405.980011 166.029999 9.178018 -3.691653 9.974015 -0.098863 11.283753 -0.337431 -11.621057 0.113606
2674293445.0 -1.0 17.521210 16.182529 12.100420 99.139999 23.910000 20.770000 18.633279 16.450731 12.333400 -0.238797 11.638689 -0.109244 -11.747875 -0.004047
2674303894.0 -1.0 9.501050 10.445530 20.290300 -97.949997 172.380005 -321.230011 8.402329 12.379144 16.687012 -0.507752 11.093422 0.219323 -10.873869 0.027693
2674292087.0 -1.0 11.272240 19.983391 14.478880 -357.209991 130.800003 7.150000 7.265359 21.450596 14.559083 0.658226 11.471878 0.408070 -11.063738 0.036309
2674316222.0 -1.0 3.279320 15.592640 47.509930 -127.360001 30.920000 -273.980011 1.850703 15.939475 44.436652 -0.103254 11.449941 0.564903 -10.885056 0.038372
2674281015.0 -1.0 12.683510 1.630680 11.157620 -132.729996 36.439999 -322.239990 11.194656 2.039433 7.543003 -0.172618 11.236033 -0.076497 -11.312560 0.051320
2674292603.0 -1.0 11.199140 23.462160 14.715990 35.700001 -30.620001 80.699997 11.599593 23.118691 15.621215 0.721172 11.211121 -0.013587 -11.224681 0.130246
2674340628.0 -1.0 20.668570 12.906660 89.489159 -41.520000 235.300003 88.040001 20.202834 15.546058 90.476718 0.535177 11.647089 1.369587 -10.277613 0.095743
2674341651.0 -1.0 3.597970 9.747860 85.828377 -131.389999 145.800003 -278.359985 2.124147 11.383322 82.705969 0.447781 11.415808 -0.341512 -11.757210 0.015944
2674327198.0 -1.0 19.801020 1.494920 65.205750 -128.059998 -69.400002 -59.330002 18.364551 0.716449 64.540236 -0.403295 11.219323 -0.275151 -11.494443 0.017045
2674327459.0 -1.0 17.905180 10.800580 62.869438 -91.199997 -21.680000 -144.020004 16.882175 10.557392 61.253943 0.498794 11.158664 0.794279 -10.364315 0.005097
2674341885.0 -1.0 3.257860 21.593840 87.076981 84.720001 273.109985 -235.550003 4.208178 24.657358 84.434779 1.999094 11.089905 0.807129 -10.282746 0.198579
2674327670.0 -1.0 7.440860 4.900230 60.305168 -117.910004 1.430000 -90.209999 6.118245 4.916271 59.293268 -0.205226 11.281033 0.243534 -11.037536 0.029352
2674342241.0 -1.0 16.065371 24.109720 92.421837 -151.740005 201.639999 145.460007 14.363279 26.371548 94.053485 -0.102370 11.177537 0.508530 -10.668978 0.064488
2674327812.0 -1.0 9.785680 4.519950 60.786240 -101.000000 69.150002 -50.580002 8.652747 5.295617 60.218876 -0.577250 11.149527 -0.210208 -11.359717 0.026423
2674327879.0 -1.0 0.489330 21.047331 67.190933 -316.630005 -44.279999 39.130001 -3.062359 20.550635 67.629860 0.166765 11.097951 0.162266 -10.935542 0.050060
2674342510.0 -1.0 4.528810 22.446650 89.142593 37.560001 209.970001 -134.649994 4.950127 24.801917 87.632203 1.043884 11.111263 0.225568 -10.885389 0.031565
2674327332.0 -1.0 1.277520 23.936920 75.161911 34.680000 283.839996 -34.240002 1.666531 27.120799 74.777835 -0.491304 11.102777 0.633670 -10.469032 0.033526
2674342456.0 -1.0 0.683950 11.700320 83.604698 35.150002 65.820000 -263.799988 1.078233 12.438633 80.645611 0.553293 11.251395 0.307710 -10.943858 -0.007315
2674354722.0 -1.0 14.968100 17.076460 103.929588 122.379997 144.570007 100.730003 16.340856 18.698125 105.059493 1.919418 11.100371 1.005609 -10.094960 0.200992
